Review,Review Text,Description,Annotation,hallucination_groundtruth,Review Text Original,Description Original,Annotation Original,STS Score,Hallucination Confidence Score
http://linked.aub.edu.lb/actionrec/Review/0e8d32869fb77226c01e49a87f81e426 ,love new computer easy use able work it screen great keyboard comfortable type with,heshe work computer,able work,0,I love my new computer! It is so easy to use and I am able to do all of my work on it. The screen is great and the keyboard is very comfortable to type with. ,The person likes that he/she can do all their work on this computer ,I am able to do all of my work on it ,0.4530385732650757,0.54
http://linked.aub.edu.lb/actionrec/Review/89ee5428523e8844e7b5e1b26f180f57 ,love new macbook pro 14 inch super fast super fast camera reliable even came case it ready travel work go,comes case,even came case,0,"I love my new MacBook Pro 14 inch, its super fast, super fast camera and very reliable. It even came with a case for it, so its all ready to travel and work on the go. ",The person likes that this laptop comes with a case ,It even came with a case for it ,-0.03420986235141754,1.0
http://linked.aub.edu.lb/actionrec/Review/0963ccb65bd7ae6134c9f845abb0c4c0,,using tablet mode,enjoy conversion tablet mode,1,  ," ""The person likes using the laptop in tablet mode"" "," ""enjoy the conversion to tablet mode"" ",0.02016245573759079,0.97
http://linked.aub.edu.lb/actionrec/Review/70b65460f22086840a64cee2c945d8fc ,love new macbook pro fast enjoying conversion tablet mode,use tablet mode,enjoy conversion tablet mode,0,I love my new MacBook Pro! It is so fast and I am enjoying the conversion to tablet mode. ,The person likes to use this laptop in tablet mode ,enjoy the conversion to tablet mode ,0.6432297229766846,0.35
http://linked.aub.edu.lb/actionrec/Review/3cec2d5cdfa34d569f5a244fe4117235,,work computer,i love new macbook pro fast love color,1,  ," ""The person likes to work on this computer"" "," ""I love my new MacBook Pro! It is so fast and I love the color!"" ",0.16262386739253998,0.83
http://linked.aub.edu.lb/actionrec/Review/950c2f0f92d3f0c49a1c7ad4ef978868 ,like computer lot would recommend product easy set use,easy set,easy set use,0,I like this computer a lot! I would recommend this product. It was easy to set up and use. ,The person likes that this laptop was easy to set up ,It was easy to set up and use ,0.5029881000518799,0.49
http://linked.aub.edu.lb/actionrec/Review/94ecd8b769d07768b6767db1aad11415,,laptops weight due ease carry transport luggage,i love thin lightweight is,1,  ," ""The person likes this laptops weight due to ease of carry and transport in luggage"" "," ""I love how thin and lightweight it is"" ",-0.01853690855205059,1.0
http://linked.aub.edu.lb/actionrec/Review/d19660ba08f68c89e4665af16a8575c8 ,love new macbook pro fast enjoying conversion tablet mode,converts tablet,enjoying conversion tablet mode,0,I love my new MacBook Pro! It is so fast and I am enjoying the conversion to tablet mode. ,This person likes that the laptop converts into a tablet ,I am enjoying the conversion to tablet mode. ,0.5949057340621948,0.4
http://linked.aub.edu.lb/actionrec/Review/e713dda19119fc890ddd9b6a48d67dab ,love new laptop fast easy use glad decided purchase it,ease use,easy use,0,I love my new laptop! It is so fast and easy to use. I am glad I decided to purchase it. ,The person likes the ease of use of this laptop ,easy to use ,0.28586405515670776,0.71
http://linked.aub.edu.lb/actionrec/Review/b5f985624c1a87b353a59a22a7d6160e ,like laptop got school love it great display works really well like keyboard backlit touch screen thing would say could little bit lighter,backlit keyboard touchscreen ,like keyboard backlit touch screen,0,"I like this laptop, I got it for school and I love it! It has a great display and it works really well. I like how the keyboard is backlit and it has a touch screen. The only thing I would say is that it could be a little bit lighter. ",The person likes the backlit keyboard and touchscreen of this laptop. ,I like how the keyboard is backlit and it has a touch screen. ,0.560913622379303,0.43
http://linked.aub.edu.lb/actionrec/Review/0cb79c7d2250abadf868e204ad4528f3,,heshe use work get work done,i able everything need do,1,  ," ""The user likes that he/she can use this laptop to work and get work done"" "," ""I am able to do everything I need to do"" ",0.17043685913085938,0.82
http://linked.aub.edu.lb/actionrec/Review/60efb13eef556dd4efdd6fb54a50fa00 ,glad upgraded 2016 macbook air new macbook fast sleek love touch screen feature,use touchscreen,love touch screen feature,0,I am so glad I upgraded from my 2016 MacBook Air. This new MacBook is so fast and sleek. I love the touch screen feature. ,The person likes to use the touchscreen of this laptop ,I love the touch screen feature. ,0.5088764429092407,0.49
http://linked.aub.edu.lb/actionrec/Review/dee114904da3390365a390b0dc0d5629,,using tablet mode,enjoy conversion tablet mode,1,  ," ""The person enjoys using the laptop in tablet mode"" "," ""enjoy the conversion to tablet mode"" ",0.02016245573759079,0.97
http://linked.aub.edu.lb/actionrec/Review/da52bb374bc78f07e61c38563423a94c ,like laptop complaints it thing wish keyboard key travel,like due low amount key travel typing,thing wish keyboard key travel,0,"I like this laptop, I have no complaints about it. The only thing I wish was that the keyboard had more key travel. ",The person doesnt like the laptop due to the low amount of key travel while typing. ,The only thing I wish was that the keyboard had more key travel. ,0.5839139819145203,0.41
http://linked.aub.edu.lb/actionrec/Review/6f04a0c7501e4adaaca720224b464a6e ,love new dell college student use school work personal stuff great,use school work,use school work,0,I love my new Dell! I am a college student and I use it for school work and personal stuff. It is great! ,The Student likes to use this laptop for school work. ,I use it for school work ,0.5746850371360779,0.42
http://linked.aub.edu.lb/actionrec/Review/1f5f176dec36f0c17d2ed9184301e711,,like laptops touchpad doesnt sensitivity lenovo laptops,the touchpad doesnt sensitivity lenovo laptops,1,  ," ""The person dont like that this laptops touchpad doesnt have the same sensitivity as their other Lenovo laptops"" "," ""the touchpad doesn^t have the same sensitivity as my other Lenovo laptops."" ",-0.015637729316949844,1.0
http://linked.aub.edu.lb/actionrec/Review/14827a738f92bd442b3afb0e2d876783 ,love new laptop looking computer could things needed found it screen great keyboard responsive like compact is also really like usbc ports charging devices transferring files overall pleased purchase would recommend anyone looking reliable computer,keyboard type,keyboard responsive,0,"I love my new laptop. I was looking for a computer that could do all the things I needed it to do and I found it. The screen is great, the keyboard is very responsive, and I like how compact it is. I also really like that there are USB-C ports for charging devices and transferring files.  Overall, I am very pleased with my purchase and would recommend it to anyone looking for a reliable computer. ",The person likes the keyboard of this laptop to type on it ,The keyboard is very responsive ,0.32795190811157227,0.67
http://linked.aub.edu.lb/actionrec/Review/9be8d14c118f9a3af50219920c9df772,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/a1e61ef28fceb31462fb6f11350496cc,,use work due lack port connection,i cant connect external monitor via vga,1,  ," ""The person cant use this laptop to work due to its lack of port connection."" "," ""I can^t connect it to an external monitor via VGA"" ",-0.028643898665905,1.0
http://linked.aub.edu.lb/actionrec/Review/8d50b00ec8869ea5cfc8dd9b8655e7d6,,ease use ,its easy use,1,  ," ""The person likes the ease of use of this laptop"" "," ""It^s very easy to use"" ",0.2910001873970032,0.7
http://linked.aub.edu.lb/actionrec/Review/55ccf258f58ba50544c885596ab489ce ,like ease use size computer senior find easy use,ease use size,like ease use size computer,0,I like the ease of use and the size of this computer. I am a senior and find it easy to use. ,The person likes the ease of use and size of this laptop ,I like the ease of use and the size of this computer. ,0.6949648857116699,0.3
http://linked.aub.edu.lb/actionrec/Review/b54cd8035f49a23a514951e57a37d502,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/cb9616a00a095cac4f0e2757291395b5 ,glad got computer use school its great,using school,use school,0,I am so glad I got this computer! I use it for school and it^s great! ,The student likes using this laptop for school. ,I use it for school ,0.5433623790740967,0.45
http://linked.aub.edu.lb/actionrec/Review/db9fdff9f548222ec2a39c018fb4b17d,,figure use ,i call tech support many times cant figure something,1,  ," ""The user cant figure out how to use this laptop"" "," ""I have had to call tech support many times because I can^t figure out how to do something."" ",0.279659628868103,0.72
http://linked.aub.edu.lb/actionrec/Review/1f5f176dec36f0c17d2ed9184301e711,,like laptops touchpad doesnt sensitivity lenovo laptops,the touchpad doesnt sensitivity lenovo laptops,1,  ," ""The person dont like that this laptops touchpad doesnt have the same sensitivity as their other Lenovo laptops"" "," ""the touchpad doesn^t have the same sensitivity as my other Lenovo laptops."" ",-0.015637729316949844,1.0
http://linked.aub.edu.lb/actionrec/Review/25ee296fcd499160173d24851592997a ,like computer good size easy use sure problem internet far good,think problems internet,sure problem internet,0,I like the computer. It has a good size and is easy to use. I am not sure if it will have a problem with the internet but so far so good. ,The person dont think this laptop will have problems with the internet ,I am not sure if it will have a problem with the internet ,0.5697234869003296,0.43
http://linked.aub.edu.lb/actionrec/Review/842fcb9ef4463558f7009130be3805f6,,ease use ,i glad decided purchase it,1,  ," ""The person likes the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.2910001873970032,0.7
http://linked.aub.edu.lb/actionrec/Review/312ffd537222a93f27aff5deebcaff4b,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/8d4ef3620a5305c343f23c6937b6b148 ,love new computer its fast touchscreen feature awesome,touchscreen feature,touchscreen feature awesome,0,I love my new computer! It^s so fast and the touchscreen feature is awesome. ,The person likes the touchscreen feature of this laptop ,The touchscreen feature is awesome. ,0.649735689163208,0.35
http://linked.aub.edu.lb/actionrec/Review/13f60a8a8bcfdf2089582e14b267deb5,,switching tablet mode ,i also like fact easily switch tablet mode,1,  ," ""The user likes switching to tablet mode with this laptop."" "," ""I also like the fact that I can easily switch to tablet mode"" ",0.004699356853961945,0.99
http://linked.aub.edu.lb/actionrec/Review/a1e61ef28fceb31462fb6f11350496cc,,use work due lack port connection,i cant connect external monitor via vga,1,  ," ""The person cant use this laptop to work due to its lack of port connection."" "," ""I can^t connect it to an external monitor via VGA"" ",-0.028643898665905,1.0
http://linked.aub.edu.lb/actionrec/Review/685a1e51f18889c9a742191239a75b30 ,second lenovo purchased last year great computer reason gave 4 stars instead 5 crashed one time 2 weeks however told common lot models resolved quickly help support rep,,great computer,0,"This was the second Lenovo we purchased in the last year. It is a great computer. The only reason I gave it 4 stars instead of 5 is because it crashed one time after about 2 weeks. However, I am told this is common for a lot of these models and was resolved quickly with help from a support rep. ",The person likes this laptop ,It is a great computer. ,0.11376357078552246,0.88
http://linked.aub.edu.lb/actionrec/Review/d7db5b8d337c1c02b57f3eb7ce0e59d8,,computer,i got best deal best buy,1,  ," ""The person likes this computer"" "," ""I got the best deal on Best Buy"" ",0.22511856257915497,0.77
http://linked.aub.edu.lb/actionrec/Review/31688b5b5289d9329bc8a38087bf88c5 ,love new macbook pro fast enjoying conversion tablet mode,use tablet mode,enjoying conversion tablet mode,0,I love my new MacBook Pro! It is so fast and I am enjoying the conversion to tablet mode. ,The person likes to use this laptop in tablet mode ,I am enjoying the conversion to tablet mode. ,0.6432297229766846,0.35
http://linked.aub.edu.lb/actionrec/Review/a5499fb65906b3678e6673dda0e65b02 ,love new macbook pro fast enjoying conversion tablet mode,using tablet mode,enjoy conversion tablet mode,0,I love my new MacBook Pro! It is so fast and I am enjoying the conversion to tablet mode. ,The person enjoys using the laptop in tablet mode ,enjoy the conversion to tablet mode ,0.642234206199646,0.35
http://linked.aub.edu.lb/actionrec/Review/946888dc57621d045aaeed4f1d77c07f,,gaming capabilities,i hp 15t touch one computer year love it,1,  ," ""The user likes this laptop because of its gaming capabilities."" "," ""I have had my HP 15t Touch all in one computer for about a year now and I love it!"" ",0.18389630317687988,0.81
http://linked.aub.edu.lb/actionrec/Review/943abea3578330e101e2f2c1a7419d12,,ease use ,i love new macbook pro,1,  ," ""The person likes the ease of use of this laptop."" "," ""I love my new MacBook Pro!"" ",0.2910001873970032,0.7
http://linked.aub.edu.lb/actionrec/Review/3cfd55c38f2cf020b4fc08a8924dc690 ,like computer wish touch screen,like presence touch screen feature,like computer wish touch screen,0,I like the computer but I wish it had a touch screen. ,The user would like the presence of a touch screen feature on this laptop  ,I like the computer but I wish it had a touch screen. ,0.7137423157691956,0.28
http://linked.aub.edu.lb/actionrec/Review/480895ff266a31225c175bf0a75f40a2,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/1f5f176dec36f0c17d2ed9184301e711,,like laptops touchpad doesnt sensitivity lenovo laptops,the touchpad doesnt sensitivity lenovo laptops,1,  ," ""The person dont like that this laptops touchpad doesnt have the same sensitivity as their other Lenovo laptops"" "," ""the touchpad doesn^t have the same sensitivity as my other Lenovo laptops."" ",-0.015637729316949844,1.0
http://linked.aub.edu.lb/actionrec/Review/82db4990314103766df044f77991833b ,love new laptop fast screen beautiful glad upgraded older model,happy heshe upgraded old model one,glad upgraded older model,0,I love my new laptop! It is so fast and the screen is beautiful. I am glad I upgraded from an older model. ,The person is happy that he/she upgraded from an old model to this one ,I am glad I upgraded from an older model ,0.5161938071250916,0.48
http://linked.aub.edu.lb/actionrec/Review/94b0abc8169416194a976e6a78551314 ,love new macbook pro fast enjoying conversion tablet mode,using tablet mode,enjoy conversion tablet mode,0,I love my new MacBook Pro! It is so fast and I am enjoying the conversion to tablet mode. ,The person enjoys using the laptop in tablet mode ,enjoy the conversion to tablet mode ,0.642234206199646,0.35
http://linked.aub.edu.lb/actionrec/Review/261cd46ef3c29c95c9e934c085718730 ,love new dell looking new computer long time saw one happy everything wanted,heshe use long time,looking new computer long time,0,I love my new Dell! I have been looking for a new computer for a long time and when I saw this one I was so happy! It is everything I wanted! ,The person likes that he/she can use this laptop for a long time ,I have been looking for a new computer for a long time ,0.1036771684885025,0.89
http://linked.aub.edu.lb/actionrec/Review/4d3740387d3a3426fb2eaa4242767cd7 ,happy new hp one computer like large screen easy use touch screen picture also great latest greatest technology came quickly love connects easily,ease use due touchscreen feature,like large screen easy use touch screen,0,I have been very happy with my new HP all in one computer. I like the large screen and easy to use touch screen.  The picture is also great and has all the latest and greatest technology.  It came very quickly and I love how it connects easily. ,The person likes the ease of use of this laptop due to its touchscreen feature ,I like the large screen and easy to use touch screen. ,0.4258381128311157,0.57
http://linked.aub.edu.lb/actionrec/Review/3ea0f5dd532512869516e80700c41123,,using tablet mode,enjoy conversion tablet mode,1,  ," ""The person enjoys using the laptop in tablet mode"" "," ""enjoy the conversion to tablet mode"" ",0.02016245573759079,0.97
http://linked.aub.edu.lb/actionrec/Review/1f5f176dec36f0c17d2ed9184301e711,,like laptops touchpad doesnt sensitivity lenovo laptops,the touchpad doesnt sensitivity lenovo laptops,1,  ," ""The person dont like that this laptops touchpad doesnt have the same sensitivity as their other Lenovo laptops"" "," ""the touchpad doesn^t have the same sensitivity as my other Lenovo laptops."" ",-0.015637729316949844,1.0
http://linked.aub.edu.lb/actionrec/Review/0c135151bc8f1275705a476639efdbab ,love new computer fast easy use glad decided purchase it,happy purchase,glad decided purchase,0,I love my new computer! It is so fast and easy to use. I am glad I decided to purchase it. ,The user is happy with the purchase of this laptop ,I am glad I decided to purchase it ,0.6078300476074219,0.39
http://linked.aub.edu.lb/actionrec/Review/572b2b4fab0576165d793271096527c4,,,i love new macbook pro,1,  ," ""The user loves the laptop."" "," ""I love my new MacBook Pro!"" ",0.9999997615814209,0.0
http://linked.aub.edu.lb/actionrec/Review/781ee14b9fbe07fcd69c5ba6241df292,,better laptops,i never owned apple product before,1,  ," ""The user likes this laptop better than other laptops"" "," ""I have never owned an apple product before"" ",0.10198970139026642,0.89
http://linked.aub.edu.lb/actionrec/Review/a2f272bcb2241329158bfbf028d9acb0 ,love new macbook pro fast easy use especially like touch screen feature 1010,touchscreen feature,especially like touch screen feature,0,I love my new MacBook Pro! It is so fast and easy to use. I especially like the touch screen feature. 10/10 ,The person likes that this laptop has a touchscreen feature ,I especially like the touch screen feature. ,0.454565167427063,0.54
http://linked.aub.edu.lb/actionrec/Review/7554afecc3ecc0c6736d88867928096e,,keyboard ,i like keyboard responsive,1,  ," ""The person likes the keyboard of this laptop"" "," ""I like the keyboard is very responsive."" ",0.14837005734443665,0.85
http://linked.aub.edu.lb/actionrec/Review/9b24e73d604dbcffb3ae642f7e750f58 ,happy purchase able get discounted price great picture quality work home use need use sound system times online meetings such touch screen great scrolling documents,used without speakers,need use sound system times online meetings such,0,I am very happy with my purchase. I was able to get the discounted price. It has great picture quality for work at home use. I do not need to use the sound system most times because I am online for meetings and such. The touch screen is great for scrolling through documents. ,The person likes that this laptop can be used without speakers ,I do not need to use the sound system most times because I am online for meetings and such. ,0.3955584764480591,0.6
http://linked.aub.edu.lb/actionrec/Review/aece0742faac52061d67b2f91efcd26a ,love it best buy sure love take touch bar out awesome doesnt stick together also really love computer automatically knows preferences,heshe take touch bar use tablet,love take touch bar out awesome doesnt stick together,0,Love it!! Best buy for sure!!! Love how you can take the touch bar out!! So awesome and doesn^t stick together. Also I really love that my computer automatically knows my preferences ,The person likes that he/she can take the touch bar out to use it as a tablet ,Love how you can take the touch bar out!! So awesome and doesn^t stick together. ,0.47264939546585083,0.52
http://linked.aub.edu.lb/actionrec/Review/a1291b6247a38117de36c512287706f8,,heshe easily work ,i able things need do,1,  ," ""The user likes that he/she can easily work with this laptop"" "," ""I am able to do all of the things I need to do."" ",0.19083824753761292,0.8
http://linked.aub.edu.lb/actionrec/Review/2033bf0be5095b67be312135497024e2,,like performance ,i like design laptop,1,  ," ""The person dont like the performance of this laptop"" "," ""I like the design of this laptop"" ",0.38845330476760864,0.61
http://linked.aub.edu.lb/actionrec/Review/ca66bdb80ad52ad350537b7f6e734b02 ,love new computer easy use able things need quickly efficiently touch screen responsive love able use tablet mode,easy use heshe easily use things want,love new computer easy use able things need quickly efficiently,0,I love my new computer! It is so easy to use and I am able to do all of the things I need to do quickly and efficiently. The touch screen is very responsive and I love being able to use it in tablet mode. ,The person likes that this laptop is easy to use and he/she can easily use it for all of the things they want to do ,I love my new computer! It is so easy to use and I am able to do all of the things I need to do quickly and efficiently. ,0.40629565715789795,0.59
http://linked.aub.edu.lb/actionrec/Review/a384a2cdb3945f12448c3c673dde5576,,compactness ,i small apartment im able get desk computer,1,  ," ""The user likes the compactness of the laptop"" "," ""I have a small apartment and I^m not able to get a desk for my computer"" ",0.2928013205528259,0.7
http://linked.aub.edu.lb/actionrec/Review/01957c2d2b954b04ac2ddf193aa95737 ,love new laptop glad upgraded fast screen beautiful,happy,glad upgraded,0,I love my new laptop! I am so glad I upgraded. It is so fast and the screen is beautiful. ,The person is happy with this laptop ,I am so glad I upgraded. ,0.2902580499649048,0.7
http://linked.aub.edu.lb/actionrec/Review/7e7e270f228bb556ddcbf573c5aead1d ,love new macbook pro fast screen amazing,speed screen quality ,love new macbook pro fast screen amazing,0,I love my new MacBook Pro! It is so fast and the screen is amazing! ,The user likes the speed and screen quality of this laptop. ,I love my new MacBook Pro! It is so fast and the screen is amazing! ,0.40400052070617676,0.59
http://linked.aub.edu.lb/actionrec/Review/9c0f4471064fa4835696f586a250c2ac ,bought computer black friday best buy absolutely love it features looking new computer would definitely recommend it,others,would definitely recommend,0,I bought this computer on Black Friday at Best Buy and I absolutely love it. It has all the features I was looking for in a new computer and I would definitely recommend it. ,The user recommends this laptop to others ,I would definitely recommend it ,0.019199294969439507,0.98
http://linked.aub.edu.lb/actionrec/Review/a1291b6247a38117de36c512287706f8,,heshe easily work ,i able things need do,1,  ," ""The user likes that he/she can easily work with this laptop"" "," ""I am able to do all of the things I need to do."" ",0.19083824753761292,0.8
http://linked.aub.edu.lb/actionrec/Review/a1e61ef28fceb31462fb6f11350496cc,,use work due lack port connection,i cant connect external monitor via vga,1,  ," ""The person cant use this laptop to work due to its lack of port connection."" "," ""I can^t connect it to an external monitor via VGA"" ",-0.028643898665905,1.0
http://linked.aub.edu.lb/actionrec/Review/774a313db6d640c1f5dc97de4aff5c84 ,love new macbook pro fast enjoying conversion tablet mode,using tablet mode,enjoy conversion tablet mode,0,I love my new MacBook Pro! It is so fast and I am enjoying the conversion to tablet mode. ,The person enjoys using the laptop in tablet mode ,enjoy the conversion to tablet mode ,0.642234206199646,0.35
http://linked.aub.edu.lb/actionrec/Review/35c81936ff5c1cd8037e0e8c02c007a4,,speed screen quality ,i love new laptop its fast screen gorgeous,1,  ," ""The user likes the speed and screen quality of this laptop"" "," ""I love my new laptop! It^s so fast and the screen is gorgeous."" ",0.08533313870429993,0.91
http://linked.aub.edu.lb/actionrec/Review/7cf62863c8e1d00af4afce972ac7b002 ,big apple fan love macbook pro new macbook great well latest apps come apple know security software,apps came ,latest apps,0,"I am a big Apple fan, I love my MacBook Pro but the new MacBook is great as well. It has all the latest apps that come with Apple, you know, security software. ",The user likes the apps that came with this laptop. ,it has all the latest apps ,0.24239987134933472,0.75
http://linked.aub.edu.lb/actionrec/Review/547e5001e8a1a8de810c266128541ad5 ,love new macbook pro fast sleek love touch screen feature makes everything easy convenient,touchscreen feature work it,love touch screen feature,0,I love my new MacBook Pro! It is so fast and sleek. I love the touch screen feature. It makes everything easy and convenient. ,The person likes that this laptop has a touchscreen feature to work with it. ,I love the touch screen feature ,0.5587418079376221,0.44
http://linked.aub.edu.lb/actionrec/Review/16f600092bbfe32ae431a4df58eaf458,,thinks would good purchase daughter,im thinking getting one daughter school,1,  ," ""The student likes the laptop and thinks it would be a good purchase for her daughter."" "," ""Im thinking of getting one for my daughter for school"" ",0.1667916625738144,0.83
http://linked.aub.edu.lb/actionrec/Review/c2233fb1f8489a9907ceda0dc20d6eca ,great computer love it lot features easy use,easy use,lot features easy use,0,Its a great computer and I love it. It has a lot of features and is easy to use. ,The person likes that this laptop is easy to use ,It has a lot of features and is easy to use ,0.5752846002578735,0.42
http://linked.aub.edu.lb/actionrec/Review/e1b75b39aeee239ae490461560a41802,,small size lightweight ,i love new dell its perfect size needs,1,  ," ""The person likes the small size and lightweight of this laptop."" "," ""I love my new Dell! It^s the perfect size for my needs."" ",0.11837193369865417,0.88
http://linked.aub.edu.lb/actionrec/Review/c17c508d6b5ad1b688a175842b58f3de,,various apps,it many options,1,  ," ""The user likes the various apps"" "," ""it has many options"" ",0.167517751455307,0.83
http://linked.aub.edu.lb/actionrec/Review/2c23c7b7e9b3c897b41ea826891470a0,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/ff3e9e13892f327d679c0eca183b6489,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/00b9dfe55a0e8868bef6406d3fba9aef,,using tablet mode,enjoy conversion tablet mode,1,  ," ""The person enjoys using the laptop in tablet mode"" "," ""enjoy the conversion to tablet mode"" ",0.02016245573759079,0.97
http://linked.aub.edu.lb/actionrec/Review/b501d7c25f4b875ec20117ad1aeedc01,,happy ease use ,i glad decided purchase it,1,  ," ""The user is happy with the ease of use of this laptop"" "," ""I am glad I decided to purchase it"" ",0.28298890590667725,0.71
http://linked.aub.edu.lb/actionrec/Review/81c9b8e4b15b49a57382f0fb4cf82119 ,hp envy x360 2in1 year now its still running strong its great allaround laptop great battery life performance screen crisp touchscreen feature convenient convertible design makes versatile work personal use would recommend laptop anyone looking affordable yet reliable option,screen resolution ,screen crisp,0,"I have had my HP Envy x360 2-in-1 for over a year now, and it^s still running strong. It^s a great all-around laptop with great battery life and performance. The screen is crisp and the touchscreen feature is convenient. The convertible design makes it versatile for both work and personal use. I would recommend this laptop to anyone looking for an affordable yet reliable option. ",The person likes the screen resolution of this laptop. ,The screen is crisp ,0.23221886157989502,0.76
